id_municipio,projecao_2033,inclinacao_aa,n_obs,classificacao_2033,sigla_uf,regiao,porte,populacao_urbana,tendencia_icr_sm_aa
1501758,,,2.0,,PA,Norte,<5 mil,4332.0,0.04431213283750021
1501782,0.0,-1.3112987012987538,21.0,will_not_meet,PA,Norte,20-50 mil,38299.0,-0.43625113419046896
1501808,44.82358974358931,-0.5497435897436053,26.0,will_not_meet,PA,Norte,50-100 mil,52286.0,-0.3772827089964258
1501907,,,2.0,,PA,Norte,5-20 mil,9367.0,
1501956,16.6596059113308,-4.229310344827544,7.0,will_not_meet,PA,Norte,5-20 mil,7375.0,-0.009975864843120628
1502004,0.0,-2.6558441558442576,21.0,will_not_meet,PA,Norte,5-20 mil,8764.0,-0.3809126919856418
1502103,128.3742267435032,1.6897271551217083,21.0,on_track,PA,Norte,50-100 mil,61543.0,-0.1226631581439595
1502152,126.68500000000176,1.8969999999999676,8.0,on_track,PA,Norte,20-50 mil,30337.0,0.12755999450077637
1502202,0.9599999999988995,-0.7089610389610875,21.0,will_not_meet,PA,Norte,50-100 mil,55666.0,-0.2691695538532088
1502301,43.51047619047529,-0.44064935064939553,21.0,will_not_meet,PA,Norte,20-50 mil,22537.0,-0.37602561234879506
1502400,4.533948717948988,-1.4191794871794934,26.0,will_not_meet,PA,Norte,100-500 mil,182183.0,-0.3860011823696236
1502509,,,1.0,,PA,Norte,<5 mil,2665.0,
1502608,150.0,3.6339285714285436,3.0,on_track,PA,Norte,<5 mil,3916.0,
1502707,57.76645962732891,-0.6705815923207473,22.0,will_not_meet,PA,Norte,20-50 mil,34287.0,-0.20091762859638598
1502756,146.16824034334786,3.583261802575088,6.0,on_track,PA,Norte,5-20 mil,18064.0,0.030410373705467012
1502764,,,1.0,,PA,Norte,<5 mil,3565.0,
1502772,150.0,5.225274725274703,14.0,on_track,PA,Norte,5-20 mil,12171.0,-0.05923344477905817
1502806,140.05482352941,5.944941176470634,6.0,on_track,PA,Norte,5-20 mil,13603.0,0.0
1502855,100.00000000000001,3.025387648280568e-15,4.0,on_track,PA,Norte,5-20 mil,6971.0,
1502905,,,1.0,,PA,Norte,5-20 mil,14407.0,
1502939,101.65904761904858,3.047922077922153,21.0,on_track,PA,Norte,20-50 mil,38780.0,-0.573340482006032
1502954,150.0,4.345054945054936,14.0,on_track,PA,Norte,5-20 mil,17769.0,0.02013679140608624
1503002,113.4933333333338,1.2858441558441698,21.0,on_track,PA,Norte,5-20 mil,5208.0,-0.16878332545890823
1503044,0.0,0.0,3.0,will_not_meet,PA,Norte,5-20 mil,9446.0,
1503077,100.00000000000003,2.0557663992791718e-15,3.0,on_track,PA,Norte,5-20 mil,8714.0,
1503093,49.96366120218727,1.595901639344224,3.0,will_not_meet,PA,Norte,20-50 mil,28869.0,0.0
1503101,102.66376518218647,0.3103238866396974,5.0,on_track,PA,Norte,5-20 mil,11250.0,-0.07931109500660845
1503200,88.52499999999861,-0.3041666666667125,8.0,will_not_meet,PA,Norte,20-50 mil,21931.0,-0.3591659716940587
1503309,0.0,-1.855454545454611,21.0,will_not_meet,PA,Norte,20-50 mil,28592.0,-0.3708113457090229
1503408,70.05999999999904,-0.3524675324675763,21.0,will_not_meet,PA,Norte,<5 mil,3315.0,-0.1982908090655714
1503457,,,2.0,,PA,Norte,5-20 mil,16007.0,
1503507,,,2.0,,PA,Norte,5-20 mil,6524.0,
1503606,12.594466403162016,0.09288537549406944,22.0,will_not_meet,PA,Norte,50-100 mil,73617.0,-0.8652524825154865
1503705,21.46190476190452,0.27402597402596973,21.0,will_not_meet,PA,Norte,20-50 mil,21378.0,-0.1613943990861561
1503754,114.64619354838214,2.9110967741931586,11.0,on_track,PA,Norte,<5 mil,2653.0,0.043761542187428455
1503804,16.237142857141635,-0.726233766233816,21.0,will_not_meet,PA,Norte,50-100 mil,53828.0,-0.22477497884425635
1503903,84.28482834994475,0.760022148394227,14.0,will_not_meet,PA,Norte,5-20 mil,19850.0,-0.36361192224057415
1504000,71.99999999999886,-0.5571428571429201,21.0,will_not_meet,PA,Norte,5-20 mil,7337.0,-0.17664951159223186
1504059,15.933733493397085,-1.1434573829531607,6.0,will_not_meet,PA,Norte,20-50 mil,25105.0,-0.345654324038923
1504109,104.35238095238026,0.5194805194804937,21.0,on_track,PA,Norte,<5 mil,4021.0,-0.3146139114023103
1504208,38.90529914529918,-0.2550427350427332,26.0,will_not_meet,PA,Norte,100-500 mil,229312.0,-0.29286762192230953
1504307,0.0,-14.169230769231252,4.0,will_not_meet,PA,Norte,5-20 mil,11771.0,0.03073441444456228
