id_municipio,projecao_2033_esgoto,inclinacao_esgoto_aa,n_obs_esgoto,classificacao_2033_esgoto,sigla_uf,regiao,porte,populacao_urbana
1304401,,,0.0,,AM,Norte,5-20 mil,13815.0
1400027,,,0.0,,RR,Norte,<5 mil,1772.0
1400050,,,0.0,,RR,Norte,<5 mil,4432.0
1400100,127.5827178796053,3.510046207162121,24.0,on_track,RR,Norte,100-500 mil,426588.0
1400159,150.0,8.479507042254324,6.0,on_track,RR,Norte,<5 mil,4307.0
1400175,,,0.0,,RR,Norte,<5 mil,3126.0
1400209,97.30000000000324,2.1530666985335066e-13,9.0,on_track,RR,Norte,5-20 mil,13423.0
1400233,,,1.0,,RR,Norte,<5 mil,4340.0
1400282,,,2.0,,RR,Norte,5-20 mil,5926.0
1400308,0.0,-14.010000000000796,3.0,will_not_meet,RR,Norte,5-20 mil,11164.0
1400407,,,0.0,,RR,Norte,<5 mil,3043.0
1400456,,,1.0,,RR,Norte,5-20 mil,8700.0
1400472,,,2.0,,RR,Norte,5-20 mil,13798.0
1400506,,,0.0,,RR,Norte,5-20 mil,5965.0
1400605,,,0.0,,RR,Norte,5-20 mil,5433.0
1400704,,,0.0,,RR,Norte,<5 mil,1497.0
1500107,,,1.0,,PA,Norte,50-100 mil,94374.0
1500131,,,1.0,,PA,Norte,5-20 mil,6707.0
1500206,,,0.0,,PA,Norte,5-20 mil,13133.0
1500305,,,0.0,,PA,Norte,5-20 mil,10795.0
1500347,,,0.0,,PA,Norte,5-20 mil,5409.0
1500404,,,0.0,,PA,Norte,20-50 mil,30232.0
1500503,,,0.0,,PA,Norte,20-50 mil,20220.0
1500602,137.78218567251497,3.5996710526314737,9.0,on_track,PA,Norte,50-100 mil,99578.0
1500701,,,0.0,,PA,Norte,5-20 mil,11539.0
1500800,150.0,10.549404761906915,8.0,on_track,PA,Norte,500 mil+,539081.0
1500909,,,2.0,,PA,Norte,20-50 mil,21141.0
1500958,,,0.0,,PA,Norte,5-20 mil,9908.0
1501006,,,0.0,,PA,Norte,<5 mil,3294.0
1501105,,,0.0,,PA,Norte,5-20 mil,14281.0
1501204,,,0.0,,PA,Norte,20-50 mil,24880.0
1501253,,,1.0,,PA,Norte,<5 mil,1282.0
1501303,0.0,-3.120909090908816,10.0,will_not_meet,PA,Norte,20-50 mil,47010.0
1501402,10.701079492731239,0.05987627590473506,19.0,will_not_meet,PA,Norte,500 mil+,1493529.0
1501451,,,0.0,,PA,Norte,5-20 mil,7535.0
1501501,,,0.0,,PA,Norte,20-50 mil,36261.0
1501576,,,0.0,,PA,Norte,5-20 mil,9201.0
1501600,,,0.0,,PA,Norte,<5 mil,4503.0
1501709,,,1.0,,PA,Norte,50-100 mil,83457.0
1501725,,,0.0,,PA,Norte,5-20 mil,6544.0
1501758,,,0.0,,PA,Norte,<5 mil,4332.0
1501782,,,2.0,,PA,Norte,20-50 mil,38299.0
1501808,,,1.0,,PA,Norte,50-100 mil,52286.0
1501907,,,0.0,,PA,Norte,5-20 mil,9367.0
1501956,,,0.0,,PA,Norte,5-20 mil,7375.0
1502004,,,0.0,,PA,Norte,5-20 mil,8764.0
1502103,,,0.0,,PA,Norte,50-100 mil,61543.0
1502152,0.0,-5.39701421800952,9.0,will_not_meet,PA,Norte,20-50 mil,30337.0
1502202,,,0.0,,PA,Norte,50-100 mil,55666.0
