id_municipio,projecao_icr_2033_linear,inclinacao_icr_aa,n_obs,sigla_uf,regiao,porte,icr_sm_ultimo_observado,variacao_pp_ultimo_2033,acima_limite_internacional_2033
1200500,0.0,-0.3412935303075289,25.0,AC,Norte,20-50 mil,3.214471796580685,-3.214471796580685,False
1200609,0.0,-0.3403669748570845,25.0,AC,Norte,20-50 mil,2.867041488268127,-2.867041488268127,False
1200708,0.6931280035742589,-0.21487928969083347,25.0,AC,Norte,5-20 mil,3.605166580276319,-2.9120385767020602,False
1200807,1.5943187445685112,-0.14124656962102108,25.0,AC,Norte,<5 mil,3.2998307900845028,-1.7055120455159916,False
1300029,5.357437694904888,0.0948570724591173,18.0,AM,Norte,5-20 mil,8.84739507552906,-3.489957380624171,True
1300060,0.38920419676746576,-0.01658654103181662,8.0,AM,Norte,5-20 mil,0.296454405312463,0.09274979145500278,False
1300086,0.9611325099463954,-0.02921866499455227,4.0,AM,Norte,5-20 mil,1.5115288427185534,-0.5503963327721579,False
1300102,,,1.0,AM,Norte,5-20 mil,1.946496302895658,,False
1300144,,,1.0,AM,Norte,5-20 mil,2.194746273101259,,False
1300201,0.0,-0.3291247494463562,9.0,AM,Norte,5-20 mil,3.629631985266241,-3.629631985266241,False
1300300,0.0,-0.17634825165465234,20.0,AM,Norte,5-20 mil,3.0334635883397003,-3.0334635883397003,False
1300409,0.0,-0.15172881817649012,7.0,AM,Norte,5-20 mil,1.3032118055555555,-1.3032118055555555,False
1300508,,,2.0,AM,Norte,5-20 mil,1.8682200456948244,,False
1300607,0.0,-0.2454296010004679,23.0,AM,Norte,20-50 mil,3.2278598308525224,-3.2278598308525224,False
1300631,0.0,-0.1251976084063315,6.0,AM,Norte,5-20 mil,0.0,0.0,False
1300680,0.0,-0.21899820644298648,8.0,AM,Norte,5-20 mil,1.0356776204964246,-1.0356776204964246,False
1300706,0.0,-0.7392616367778433,3.0,AM,Norte,20-50 mil,2.3264968540361424,-2.3264968540361424,False
1300805,0.0,-0.05678664622705538,9.0,AM,Norte,5-20 mil,0.0,0.0,False
1300839,,,0.0,AM,Norte,<5 mil,,,False
